,smiles,value,cano_smiles
5413,COC1=C(C=C2C(=C1)C3=NOC(C3CO2)CN4CCN(CC4)CC5=CC6=CC=CC=C6C=C5)OC,-4.1,COc1cc2c(cc1OC)C1=NOC(CN3CCN(Cc4ccc5ccccc5c4)CC3)C1CO2
5414,CN1C2CCC1CC3(C2)CC(=O)C(=CO3)C4=CC=CC=C4.Cl,-4.1,CN1C2CCC1CC1(CC(=O)C(c3ccccc3)=CO1)C2.Cl
5415,CCOCCOCC1=CC(=C(C=C1)N2CCN(CC2)CCCCNC(=O)C3=CC=CC=C3)OC,-4.1,CCOCCOCc1ccc(N2CCN(CCCCNC(=O)c3ccccc3)CC2)c(OC)c1
5416,COC1=CC=CC(=C1)CCC2=CC=CC=C2OCCCCN3CCN(CC3)C4=CC=C(C=C4)F,-4.1,COc1cccc(CCc2ccccc2OCCCCN2CCN(c3ccc(F)cc3)CC2)c1
5417,CCCN(CCC)C1CCC(=C(C#C[Si](C)(C)C)C#C[Si](C)(C)C)CC1,-4.1,CCCN(CCC)C1CCC(=C(C#C[Si](C)(C)C)C#C[Si](C)(C)C)CC1
5418,C1CN(CCN1CCCCN=C2COC3=CC=CC=C3N2)C4=NC=CC=N4,-4.1,c1cnc(N2CCN(CCCCN=C3COc4ccccc4N3)CC2)nc1
5419,CCCOC1=CC=C(C=C1)CN2CCN(CC2)CC3=CC4=CC=CC=C4O3,-4.1,CCCOc1ccc(CN2CCN(Cc3cc4ccccc4o3)CC2)cc1
5420,COC1=CC=CC(=C1)CCC2=CC=CC=C2OCCCCCN3CCC4=CC=CC=C4C3,-4.1,COc1cccc(CCc2ccccc2OCCCCCN2CCc3ccccc3C2)c1
5421,C1CC2=CC=CC=C2C3=C(C1)C=NN3,-4.1,c1ccc2c(c1)CCCc1cn[nH]c1-2
5422,C1CNCC(C1F)C2=C(NC3=C2C=CC=C3F)C4=CC=CC=C4,-4.1,Fc1cccc2c(C3CNCCC3F)c(-c3ccccc3)[nH]c12
5423,CC1=C2CC(CC3=C(C2=C(S1)C)NN=C3)(C)C,-4.1,Cc1sc(C)c2c1CC(C)(C)Cc1cn[nH]c1-2
5424,CC1=CC=C(C=C1)C2=CC3=C(N2)C(=O)N(C(=O)N3)CCN4CCN(CC4)C5=CC=CC=C5Cl,-4.1,Cc1ccc(-c2cc3[nH]c(=O)n(CCN4CCN(c5ccccc5Cl)CC4)c(=O)c3[nH]2)cc1
5425,CN1CCC2=C(C1)C3=C4N2CC5=CC=CC=C5CC4=CC=C3,-4.1,CN1CCc2c(c3cccc4c3n2Cc2ccccc2C4)C1
5426,CNC1=NC=NC(=C1)C2=CSC(=N2)N(C)C(=O)C3=CC=C(C=C3)F,-4.1,CNc1cc(-c2csc(N(C)C(=O)c3ccc(F)cc3)n2)ncn1
5427,CCCN1CCCC(C1)C2=CC=CC(=C2)C(=O)C,-4.1,CCCN1CCCC(c2cccc(C(C)=O)c2)C1
5428,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,-4.1,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
5429,C1CN(CCN1CC2=C3C=CC=CN3N=C2)C4=CC=C(C=C4)OCCF,-4.1,FCCOc1ccc(N2CCN(Cc3cnn4ccccc34)CC2)cc1
5430,COC1=CC2=C(C=C1)C3=C(CN(CC3)CCC4=CC=CC=C4)C(=O)O2,-4.1,COc1ccc2c3c(c(=O)oc2c1)CN(CCc1ccccc1)CC3
