,smiles,value,cano_smiles
2226,CC1=CC(=C(C=C1)N2N=CC=N2)C(=O)N3CCCC3C4=NC(=NN4)C5=CC=C(C=C5)OC,-3.54282542695918,COc1ccc(-c2n[nH]c(C3CCCN3C(=O)c3cc(C)ccc3-n3nccn3)n2)cc1
2227,CC1CCC(CN1C(=O)C2=CC=CC=C2N3N=CN=N3)C4=CSC(=N4)C(C)(C)O,-1.1760912590556811,CC1CCC(c2csc(C(C)(C)O)n2)CN1C(=O)c1ccccc1-n1ncnn1
2228,CC1=C(C=C(C(=C1)N2N=CC=N2)C(=O)N3CCC3C4=NOC(=N4)C5=C(C(=CC=C5)Cl)OC)OC,0.1549019599857432,COc1cc(C(=O)N2CCC2c2noc(-c3cccc(Cl)c3OC)n2)c(-n2nccn2)cc1C
2229,CC1CCC(CN1C(=O)C2=CC=CC=C2N3N=CC=N3)C4=NC(=C(O4)C5CC5)C(C)(C)O,-1.2787536009528289,CC1CCC(c2nc(C(C)(C)O)c(C3CC3)o2)CN1C(=O)c1ccccc1-n1nccn1
2230,CCC1=CC=CC=C1C2=NC(=NO2)C3CCCN3C(=O)C4=CC(=C(C=C4N5N=CC=N5)C)OC,-0.4771212547196624,CCc1ccccc1-c1nc(C2CCCN2C(=O)c2cc(OC)c(C)cc2-n2nccn2)no1
2231,CCC1=NC(=C2N1CCN(C2CCC3=CC(=C(C=C3)C)F)C(C4=CC=CC=C4)C(=O)NC)OC,-0.3010299956639812,CCc1nc(OC)c2n1CCN(C(C(=O)NC)c1ccccc1)C2CCc1ccc(C)c(F)c1
2232,CCOC1=NC(=NC(=C1)OC)CCCN2C=C(C=N2)NC(=O)C3=C(OC=N3)C4=CC(=CC=C4)C,-1.9242792860618816,CCOc1cc(OC)nc(CCCn2cc(NC(=O)c3ncoc3-c3cccc(C)c3)cn2)n1
2233,COC1=C(C=CC(=C1)F)C2CC(C(=O)N2CC3=CC=C(C=C3)OC(F)(F)F)Cl,-2.7671558660821804,COc1cc(F)ccc1C1CC(Cl)C(=O)N1Cc1ccc(OC(F)(F)F)cc1
2234,CCCCNC(=O)C(C1=CC=CC=C1)N2CCC3=CC(=C(C=C3C2CC4=CC=C(C=C4)N(C)C)OC)OC,-3.1863912156954934,CCCCNC(=O)C(c1ccccc1)N1CCc2cc(OC)c(OC)cc2C1Cc1ccc(N(C)C)cc1
2235,CC1=C(C=C(C(=C1)C(=O)N2CCCC2(C)C3=NC(=NN3)C4=CC=CC=C4OC(F)(F)F)N5N=CC=N5)C,-0.9030899869919436,Cc1cc(C(=O)N2CCCC2(C)c2nc(-c3ccccc3OC(F)(F)F)n[nH]2)c(-n2nccn2)cc1C
2236,CC1CCC(CN1C(=O)C2=C(C=CC(=C2)F)C3=NC=CC=N3)OC4=NC=CC(=C4OC)C#N,-1.2552725051033058,COc1c(C#N)ccnc1OC1CCC(C)N(C(=O)c2cc(F)ccc2-c2ncccn2)C1
2237,C1CN(C(CC1O)CNC(=O)C2=CC=CC3=C2N=CC=C3)C(=O)C4=CC=CC=C4C5=CC=CC=C5,-1.7923916894982541,O=C(NCC1CC(O)CCN1C(=O)c1ccccc1-c1ccccc1)c1cccc2cccnc12
2238,CC1=CN=CC(=C1)C2=CN=C(C(=N2)C(=O)NCC3=NC(=C(C=C3)OC)OC)C4=CC=CC=C4,-1.4913616938342726,COc1ccc(CNC(=O)c2nc(-c3cncc(C)c3)cnc2-c2ccccc2)nc1OC
2239,CC1=NOC(=N1)C2=CC=CC=C2C(=O)NC3CCCC3NC4=NC5=C(S4)C=C(C=C5)F,-3.57978359661681,Cc1noc(-c2ccccc2C(=O)NC2CCCC2Nc2nc3ccc(F)cc3s2)n1
2241,CCN(CC1=NN(C(=C1)C)C)C(=O)CN(C2=C(C=CC(=C2)N(C)C)Cl)S(=O)(=O)C3=CC(=C(C=C3)OC)OC,-0.6020599913279624,CCN(Cc1cc(C)n(C)n1)C(=O)CN(c1cc(N(C)C)ccc1Cl)S(=O)(=O)c1ccc(OC)c(OC)c1
2242,CC1=CC(=C(C=C1)N2N=CC=N2)C(=O)N3CCOCC3CC4=CC(=CC=C4)N5N=CC=N5,-2.292256071356476,Cc1ccc(-n2nccn2)c(C(=O)N2CCOCC2Cc2cccc(-n3nccn3)c2)c1
2243,COC1=C(C(=NC=C1)OC)C2CCCC(=O)N2CC3=CC=CC(=C3)C4=NC=CS4,-1.3424226808222062,COc1ccnc(OC)c1C1CCCC(=O)N1Cc1cccc(-c2nccs2)c1
2244,C1CC(N(C1)C(=O)C2=CC=CC=C2C3=CC=CC=C3)C4=NC(=NN4)C5=CC=CC=C5OC(F)(F)F,-1.9242792860618816,O=C(c1ccccc1-c1ccccc1)N1CCCC1c1nc(-c2ccccc2OC(F)(F)F)n[nH]1
